id,merchant_id,offer_id,valid_from,valid_until
000202c23dc547728dd041ca4bb5e4b6,6020b174684c4f2e96fe007892884342,41d40ece0b3b4bf0b59ecf474c074bfd,"2020-11-02 01:07:21",NULL
001cc4c916b848c3b3612b2ce3cc5372,1f746f96e4984390aed0697754ba3b9d,8ca2a740bdac4c75bcdeea0df8b230bd,"2020-10-12 01:07:07","2020-10-26 01:07:01"
001e314ab61a46f2b5a0f9ee8c3d57a8,225ca97d238e45f281c0b8d7160cf80d,41d40ece0b3b4bf0b59ecf474c074bfd,"2020-09-15 01:05:48","2020-09-21 12:36:46"
002d5cf2f23a4f7cb636cf07a49af693,a7d997d93a714fa2a7ec9388c9fc2cd4,3d748fe9807d4083ad0aa689aba30810,"2020-10-20 11:06:18",NULL
0062c9fba6b04bffacc3f85e6e1dc87d,2a15b45fe58a40e7935c1849212fdcc5,41d40ece0b3b4bf0b59ecf474c074bfd,"2020-09-14 01:06:23","2020-09-21 12:36:46"
00714a35bf8b45dcbd91afd2a60889d8,39a3cb6518d34469b1c4cb8621464e06,615bafb069c744e5b33595f04dbf2ecd,"2020-10-05 11:23:00",NULL
0077f6779ac54d23ac7ec51301dc8caa,7fb58a0df72b4fe1b84d8662181c8839,3d748fe9807d4083ad0aa689aba30810,"2020-11-09 01:07:38","2020-11-16 01:07:37"
00880228b4c440a9a077279eb1385e94,a50c3b9b150243ab8f792e3703982b1c,615bafb069c744e5b33595f04dbf2ecd,"2020-10-26 01:07:01",NULL
00b0947a6c2c4163873ec438570dee01,7285003a88f14c33b99e1d69bce76a03,8ca2a740bdac4c75bcdeea0df8b230bd,"2020-11-09 01:07:39","2020-11-16 01:07:38"
00c0b678d27b4e249c0b59917b638673,06a5742bf60a49c7979d08e729e3399d,41d40ece0b3b4bf0b59ecf474c074bfd,"2020-10-26 01:07:01","2020-11-09 01:07:39"
00c7c3347a694b49949ac0050bbcc581,9ee35356e7c545b28edfd44ed81af3ac,9a6e95bfe90946d58328cece9be03455,"2020-11-09 01:07:39","2020-11-16 01:07:38"
00d9777f811543408dc3cbf784959724,7f9901310ded4e2e9bceb9b595c254de,aac4be1f0db94feebb5caed0a85aa337,"2020-11-23 01:08:08",NULL
00e42dbea8a04381862b94281f59381c,2e5577f0bb10404dac0acdd0b1470d3d,c1133bc423a044a89b4414accfdeb249,"2020-07-11 01:04:40","2020-07-19 01:04:43"
010d4e7e5502406f89bf89cab7fd2ba8,f44b62b436434cf6b77e26627edd9bbc,41d40ece0b3b4bf0b59ecf474c074bfd,"2020-10-05 11:23:00","2020-10-20 11:06:18"
010f105396e44706aa8972df6d345f98,d4af7a96d2e847a6a9c1a5a7bb93e618,aac4be1f0db94feebb5caed0a85aa337,"2020-10-12 01:07:07","2020-10-20 11:06:18"
011746179e374714aee2a214795ad08c,a9566f32ce5c45a5ab2554dd7bc39123,8ca2a740bdac4c75bcdeea0df8b230bd,"2020-11-23 01:08:07",NULL
012217bc7fe04b33bac98d712ec4acb8,0aa07838f9cc4d1bb37cf243d2ece8ba,615bafb069c744e5b33595f04dbf2ecd,"2020-09-22 01:06:01","2020-09-28 01:06:33"
012ab355e2484002abab9cbf263fbd8d,8c4fe92d808a44d7a040c391414e41c9,f9377ec7769f45e8b802ec7a7e812378,"2020-10-05 11:23:00","2020-10-07 01:06:22"
013e6df6177a4b3181a205cb4ad738a4,4b6019c1caa548e5b8bc4be0f0ee5e4e,a464b0475e6e47118d617a28b31271c2,"2020-09-01 08:34:46","2020-09-07 01:05:41"
0146d6618b0841eb9efb78f576dcc885,f6c1aeea2c7a44f380275d2017a98b3b,8ca2a740bdac4c75bcdeea0df8b230bd,"2020-07-11 01:04:40","2020-07-13 01:04:47"
